programming_exp,cli_exp,vcs_exp,md_exp,r_exp,web_exp,os,washington_born,pet_preference,coffee_cups,seahawks_fan,info_interest
4,1,0,0,0,2,Windows,No,dog person,1,No,Yes
4,1,0,0,0,2,Windows,Yes,dog person,0,No,Yes
5,2,1,0,0,2,Windows,No,dog person,0,No,Yes
4,1,0,1,0,1,Mac OS X,No,dog person,0,No,Yes
4,1,0,0,0,0,Mac OS X,No,"cat person, dog person",0.5,No,N/A
1,0,0,0,0,0,Mac OS X,No,dog person,1,YES!!!,N/A
3,2,0,0,0,1,Windows,Yes,Other Helicopter with attack purposes,2,Yes,Yes
3,0,1,1,0,2,Windows,Yes,"cat person, fish person",0,No,Yes
1,1,0,0,0,0,Mac OS X,No,dog person,2,YES!!!,No
4,1,0,0,0,0,Mac OS X,No,,0,Yes,N/A
5,1,1,1,1,3,Mac OS X,Yes,dog person,2,Yes,Yes
4,1,1,0,0,0,Windows,Yes,dog person,2,YES!!!,No
4,1,0,0,0,1,Mac OS X,No,"cat person, dog person",0,No,Yes
3,1,0,0,0,0,Windows,Yes,dog person,0,No,N/A
3,1,1,0,0,1,Windows,Yes,dog person,1,YES!!!,No
4,1,0,0,0,0,Mac OS X,No,dog person,1,Yes,Yes
3,1,0,0,0,1,Mac OS X,No,dog person,0.2,Yes,Yes
3,1,1,0,0,0,Mac OS X,,,0,YES!!!,Yes
3,0,0,0,0,2,Mac OS X,No,"cat person, dog person, fish person, bird person, Other turtle ",3,YES!!!,Yes
4,1,0,0,1,1,Windows,Yes,"cat person, dog person",1,Yes,Yes
4,2,1,0,0,1,Mac OS X,No,dog person,3,No,No
3,2,2,0,0,1,Mac OS X,No,cat person,1,Yes,No
4,0,1,0,0,1,Mac OS X,Yes,dog person,0,Yes,No
3,1,1,0,0,0,Windows,Yes,dog person,1,YES!!!,Yes
3,0,0,0,0,0,Windows,No,Other ,0,Yes,Yes
4,1,0,0,0,1,Windows,Yes,dog person,0.7,YES!!!,Yes
4,1,0,0,0,1,Mac OS X,Yes,dog person,0,No,N/A
3,2,2,0,0,2,Windows,No,"cat person, dog person",1,No,No
3,0,1,0,0,0,Windows,Yes,Other lonely person,0,No,Not sure
1,1,0,0,1,0,Windows,No,dog person,0,No,Not sure
3,1,0,0,0,0,Windows,Yes,dog person,1,Yes,N/A
4,0,0,0,0,2,Windows,No,dog person,3,No,Yes
5,2,2,2,1,0,Mac OS X,No,dog person,0,Yes,No
4,0,0,0,2,1,Mac OS X,No,dog person,0,No,Yes
5,0,0,0,0,0,Windows,No,Other ,800000,No,Yes
4,2,2,2,0,2,Windows,Yes,Other Not a pet person,0,No,N/A
4,2,0,0,0,1,Windows,No,dog person,2,No,Yes
4,1,0,0,0,1,Mac OS X,No,dog person,1,Yes,Not sure
4,1,0,0,0,1,Windows,Yes,dog person,0.5,No,No
4,2,2,1,0,1,Mac OS X,No,dog person,0,Yes,Yes
4,0,1,0,0,1,Windows,Yes,dog person,2,Yes,Yes
5,1,0,0,0,0,Mac OS X,No,dog person,0,No,No
4,0,1,0,0,2,Mac OS X,Yes,cat person,3,Yes,Yes
4,1,1,0,1,0,Mac OS X,No,dog person,0,Yes,Yes
5,1,0,0,0,0,Mac OS X,No,dog person,2,Yes,N/A
4,0,0,0,0,0,Mac OS X,No,cat person,1,YES!!!,Yes
3,0,0,0,0,0,Mac OS X,No,dog person,1,Yes,Yes
4,1,1,0,1,1,Windows,No,dog person,3,Yes,Yes
5,2,2,0,0,0,Mac OS X,No,cat person,0,Yes,Yes
4,0,0,0,0,1,Mac OS X,No,dog person,0,YES!!!,Yes
3,0,1,0,0,1,Windows,Yes,dog person,0,Yes,Yes
4,0,0,0,0,0,Windows,No,dog person,2,No,N/A
5,3,2,3,1,3,Linux (any),No,cat person,5,No,N/A
4,1,0,1,0,1,Mac OS X,No,dog person,0,YES!!!,Yes
3,0,0,0,0,0,Windows,Yes,Other not an animal person,0,YES!!!,No
3,2,0,0,1,0,Windows,No,,0,Yes,N/A
5,2,2,0,0,2,Mac OS X,Yes,"cat person, dog person",0,YES!!!,N/A
4,1,0,0,0,0,Mac OS X,No,cat person,0.6,No,Not sure
4,0,0,0,0,2,Windows,No,cat person,0,Yes,Yes
5,2,0,1,0,2,Linux (any),Yes,Other Computer Person,3,No,Yes
3,1,0,0,0,1,Mac OS X,Yes,"cat person, dog person",2,Yes,No
3,1,0,0,0,0,Mac OS X,Yes,dog person,2,Yes,N/A
3,1,1,0,0,1,Mac OS X,Yes,dog person,3,YES!!!,Yes
3,0,0,0,0,2,Mac OS X,No,dog person,1,No,Yes
4,1,1,0,2,0,Mac OS X,No,cat person,1,No,N/A
4,1,1,0,0,1,Mac OS X,No,dog person,1,Yes,N/A
5,1,2,0,0,1,Windows,,,1,YES!!!,No
5,2,2,0,0,1,Windows,No,"dog person, fish person",0,No,No
3,1,1,0,1,2,Windows,No,dog person,0,Yes,Yes
4,0,0,0,0,1,Windows,Yes,"cat person, dog person",1,No,Yes
4,1,0,0,0,0,Windows,Yes,dog person,0,Yes,Yes
5,2,2,1,0,2,Mac OS X,Yes,Other ,1,Yes,N/A
4,1,0,0,1,1,Windows,Yes,dog person,1,No,Yes
5,1,1,0,1,2,Mac OS X,Yes,dog person,0,Yes,Yes
3,2,0,0,0,2,Windows,Yes,dog person,0,No,Yes
1,1,0,0,0,1,Windows,Yes,fish person,0,No,Not sure
3,1,1,0,0,2,Windows,No,"cat person, dog person",2,No,Not sure
5,2,2,2,1,1,Mac OS X,,cat person,0.25,No,No
4,1,2,0,0,3,Mac OS X,No,dog person,6,YES!!!,Yes
5,2,0,0,2,3,Mac OS X,No,dog person,0,Yes,Yes
2,1,0,0,2,1,Windows,Yes,cat person,4,YES!!!,Yes
5,2,0,0,0,0,Windows,No,,0,No,Yes
4,2,1,1,2,3,Windows,Yes,"cat person, dog person",3,Yes,Yes
5,1,1,0,0,1,Mac OS X,No,"cat person, dog person",0,No,Yes
3,2,1,0,0,0,Windows,Yes,"cat person, dog person",2,Yes,Yes
5,1,0,1,0,2,Mac OS X,No,cat person,0,No,Yes
3,1,0,0,0,1,Windows,No,dog person,1,No,Yes
4,1,1,0,0,2,Windows,Yes,dog person,0,Yes,Yes
4,0,1,0,0,1,Mac OS X,No,dog person,0,No,Yes
4,2,1,2,2,2,Windows,Yes,"cat person, dog person",2,No,Yes
4,0,2,2,2,0,Windows,Yes,dog person,0,No,Yes
4,0,0,0,0,0,Windows,No,,0,No,Yes
2,0,0,0,1,1,Mac OS X,Yes,dog person,2,YES!!!,N/A
3,0,0,0,0,0,Windows,,,0,No,Yes
3,0,0,0,0,0,Windows,Yes,dog person,1,YES!!!,Yes
4,1,1,0,0,0,Mac OS X,No,dog person,0,Yes,Yes
4,2,1,0,0,2,Mac OS X,No,dog person,2,YES!!!,Yes
4,1,1,0,0,1,Mac OS X,No,dog person,1,Yes,Yes
4,2,2,0,0,2,Windows,Yes,dog person,1,Yes,Yes
5,2,2,1,1,2,Other: Windows + linux,No,dog person,2,YES!!!,Yes
1,0,0,0,0,1,Mac OS X,Yes,"cat person, dog person",2,YES!!!,No
4,1,2,0,1,2,Windows,No,"cat person, dog person, fish person, bird person",0,Yes,Not sure
4,1,0,0,0,2,Mac OS X,Yes,cat person,0,Yes,Yes
5,2,0,0,0,3,Mac OS X,Yes,"dog person, Other raccoon person",0,YES!!!,Yes
4,1,1,0,1,2,Mac OS X,No,"dog person, fish person",2,No,Yes
5,1,0,0,0,2,Windows,Yes,"cat person, dog person",2,Yes,Yes
3,1,1,1,0,1,Windows,No,"cat person, dog person",0,Yes,No
3,1,2,0,1,1,Mac OS X,Yes,dog person,1,Yes,N/A
4,1,0,0,0,1,Windows,No,"cat person, dog person, fish person, bird person",3,No,Yes
4,1,1,0,0,0,Windows,Yes,dog person,0,No,Yes
5,0,1,0,0,0,Windows,Yes,"cat person, dog person",0,Yes,Yes
4,1,1,0,0,0,Mac OS X,No,dog person,1,Yes,Not sure
5,2,0,0,0,1,Other: Windows and Linux,Yes,"cat person, dog person",0,Yes,Not sure